Age,Gender,Weight (kg),Height (m),Calories_Burned,Workout_Type,Workout_Frequency (days/week),BMI,Name of Exercise
34.91,Male,65.27,1.62,1080.9,Strength,3.99,24.87,Decline Push-ups
23.37,Female,56.41,1.55,1809.91,HIIT,4.0,23.48,Bear Crawls
33.2,Female,58.98,1.67,802.26,Cardio,2.99,21.15,Dips
38.69,Female,93.78,1.7,1450.79,HIIT,3.99,32.45,Mountain Climbers
45.09,Male,52.42,1.88,1166.4,Strength,4.0,14.83,Bicep Curls
53.19,Female,105.05,1.84,453.33,Yoga,3.02,31.03,Leg Press
23.17,Male,58.41,1.78,1953.9,Strength,4.96,18.44,Thrusters
55.92,Female,84.07,1.63,727.81,Yoga,3.97,31.64,Turkish Get-ups
24.11,Female,88.58,1.79,2062.37,Strength,4.01,27.65,Glute Bridges
39.19,Female,50.32,1.6,1157.25,Strength,2.0,19.66,Step-ups
50.51,Male,86.37,1.63,1974.26,Strength,4.01,32.51,Plank
47.77,Female,83.89,1.82,2733.4,HIIT,5.02,25.33,Pull-ups
19.0,Male,82.66,1.96,2700.62,HIIT,5.02,21.52,Lunges
38.01,Female,57.67,1.56,2345.2,HIIT,5.0,23.7,Turkish Get-ups
27.39,Female,71.79,1.97,743.85,Strength,3.01,18.5,Plyo Squats
18.86,Female,95.12,1.85,1293.84,Strength,4.0,27.79,Squats
40.36,Male,56.88,1.71,2189.58,Strength,5.02,19.45,Frog Jumps
37.14,Male,76.48,1.77,1305.6,Cardio,4.0,24.41,Step-ups
18.93,Male,72.56,1.79,803.36,Strength,2.99,22.65,Lunges
46.0,Male,60.05,1.68,1544.4,HIIT,4.01,21.28,Deadlifts
37.06,Female,73.04,1.74,1123.2,Strength,3.0,24.12,Decline Push-ups
50.23,Female,86.72,1.63,1326.0,Yoga,4.0,32.64,Prone Cobras
30.9,Female,76.77,1.71,1214.12,Cardio,3.98,26.25,Glute Bridges
24.03,Female,88.29,1.79,1831.81,Cardio,4.01,27.56,Lat Pulldowns
50.53,Male,57.01,1.91,1177.2,Strength,3.99,15.63,Prone Cobras
54.03,Female,87.22,1.76,1067.38,Yoga,3.0,28.16,Bear Crawls
25.11,Female,105.44,1.88,1277.86,Cardio,2.99,29.83,Mountain Climbers
39.05,Male,102.34,1.94,792.0,Cardio,3.01,27.19,Russian Twists
44.1,Female,89.6,1.99,1848.0,HIIT,4.0,22.63,Shoulder Press
18.06,Male,58.56,1.61,2226.42,Strength,3.99,22.59,Tricep Dips
57.07,Female,76.9,1.86,827.31,Yoga,3.99,22.23,Kettlebell Swings
49.66,Male,52.57,1.84,1324.8,Cardio,4.0,15.53,Resistance Band Pull-Aparts
31.63,Male,126.53,1.83,790.68,Yoga,2.99,37.78,Leg Raises
41.8,Male,59.72,1.74,2545.4,HIIT,5.01,19.73,Tricep Extensions
37.51,Male,76.59,1.82,1072.8,Yoga,3.98,23.12,Deadlifts
39.98,Male,79.99,1.76,1902.7,Strength,5.01,25.82,Dead Bugs
25.49,Female,127.55,1.73,1607.84,HIIT,3.02,42.62,Frog Jumps
58.24,Female,56.96,1.7,895.4,HIIT,1.99,19.71,Scissors Kicks
48.18,Female,56.53,1.51,1311.91,Cardio,3.97,24.79,Plyometric Push-ups
27.19,Male,88.2,1.98,2577.96,HIIT,4.01,22.5,Frog Jumps
40.14,Male,51.72,1.61,566.57,Yoga,1.99,19.95,Push Ups
41.1,Female,77.05,1.79,1849.54,HIIT,4.0,24.05,Leg Press
52.36,Female,51.93,1.67,1818.3,HIIT,1.97,18.62,Bench Press
36.02,Female,109.87,1.77,786.11,Yoga,1.99,35.07,Inverted Rows
33.07,Male,102.83,1.75,1003.8,Yoga,3.0,33.58,Bench Press
37.35,Female,88.65,1.79,2490.11,HIIT,5.04,27.67,Russian Twists
21.24,Female,80.78,1.9,2575.98,HIIT,4.01,22.38,Russian Twists
25.76,Female,70.53,1.5,1011.08,Cardio,1.97,31.35,Seated Rows
40.09,Male,54.73,1.61,1209.0,Yoga,3.98,21.11,Calf Raises
32.59,Male,52.75,1.66,1248.53,Strength,2.96,19.14,Reverse Lunges
52.62,Female,84.36,1.76,1308.38,Yoga,5.01,27.23,Russian Twists
58.93,Female,59.66,1.76,1787.42,Cardio,5.0,19.26,Deadlift
52.03,Female,59.98,1.71,1499.04,HIIT,2.97,20.51,Plyo Squats
30.75,Female,76.83,1.62,999.97,Yoga,3.97,29.28,Wall Angels
29.01,Male,58.43,1.61,1296.0,Strength,2.99,22.54,Mountain Climbers
39.14,Female,71.32,1.88,665.5,HIIT,1.99,20.18,Deadlift
39.08,Male,55.58,1.71,2039.97,Cardio,5.0,19.01,Bear Crawls
38.16,Female,44.9,1.68,1092.62,Strength,2.98,15.91,Tricep Extensions
26.29,Female,59.21,1.51,2420.42,HIIT,4.97,25.97,Resistance Band Pull-Aparts
26.92,Male,87.68,1.63,2052.22,Strength,4.99,33.0,Step-ups
45.05,Male,63.63,1.54,1727.73,Cardio,3.99,26.83,Lateral Raises
58.04,Female,109.54,1.91,1065.6,Yoga,3.02,30.03,Decline Push-ups
56.29,Female,125.88,1.86,960.8,Cardio,3.04,36.39,Face Pulls
50.13,Female,70.32,1.68,1147.36,Strength,1.98,24.91,Prone Cobras
56.77,Male,85.56,1.69,1842.22,Cardio,5.0,29.96,Burpees
33.93,Female,64.38,1.78,1438.79,Strength,4.02,20.32,Pull-ups
18.77,Male,60.51,1.59,1012.92,Cardio,2.04,23.93,Shoulder Press
28.33,Female,69.13,1.58,1073.69,Yoga,2.98,27.69,Push-ups
31.96,Male,97.49,1.96,1467.58,Strength,3.01,25.38,Squats
38.76,Male,85.97,1.82,2807.11,HIIT,5.03,25.95,Box Jumps
36.52,Male,56.0,1.57,961.17,Strength,2.02,22.72,Rows
52.85,Male,47.69,1.76,1399.2,HIIT,3.99,15.4,Kettlebell Swings
18.0,Female,64.01,1.63,580.8,Cardio,3.01,24.09,Push-ups
18.0,Female,62.43,1.59,1180.8,Cardio,4.01,24.69,Kettlebell Swings
43.69,Female,42.16,1.66,481.8,Yoga,2.01,15.3,Bird Dogs
30.47,Male,87.22,1.69,1810.99,Cardio,4.01,30.54,Plyometric Push-ups
36.85,Male,76.15,1.82,1431.59,Cardio,3.98,22.99,Seated Rows
18.8,Female,127.92,1.92,1211.62,Cardio,3.99,34.7,Calf Raises
